#Step_num time omega delta |10><10| |r0><r0| |d0><d0|
214 0.061926 0.804987 0.048355 0.048355 0.048355 0.048355
215 0.062167 0.804322 0.048516 0.048516 0.048516 0.048516
216 0.062407 0.803658 0.048677 0.048677 0.048677 0.048677
217 0.062647 0.802995 0.048837 0.048837 0.048837 0.048837
218 0.062887 0.802332 0.048998 0.048998 0.048998 0.048998
219 0.063127 0.801667 0.049159 0.049159 0.049159 0.049159
220 0.063367 0.800999 0.049321 0.049321 0.049321 0.049321
221 0.063607 0.800327 0.049483 0.049483 0.049483 0.049483
222 0.063847 0.799651 0.049647 0.049647 0.049647 0.049647
223 0.064087 0.798968 0.049812 0.049812 0.049812 0.049812
224 0.064326 0.798278 0.049979 0.049979 0.049979 0.049979
225 0.064566 0.797580 0.050149 0.050149 0.050149 0.050149
226 0.064805 0.796873 0.050320 0.050320 0.050320 0.050320
227 0.065045 0.796155 0.050494 0.050494 0.050494 0.050494
228 0.065284 0.795426 0.050671 0.050671 0.050671 0.050671
229 0.065523 0.794685 0.050850 0.050850 0.050850 0.050850
230 0.065762 0.793930 0.051033 0.051033 0.051033 0.051033
231 0.066002 0.793161 0.051220 0.051220 0.051220 0.051220
232 0.066241 0.792377 0.051410 0.051410 0.051410 0.051410
233 0.066480 0.791577 0.051605 0.051605 0.051605 0.051605
234 0.066719 0.790761 0.051803 0.051803 0.051803 0.051803
235 0.066957 0.789926 0.052006 0.052006 0.052006 0.052006
236 0.067196 0.789074 0.052213 0.052213 0.052213 0.052213
237 0.067435 0.788202 0.052425 0.052425 0.052425 0.052425
238 0.067674 0.787311 0.052642 0.052642 0.052642 0.052642
239 0.067912 0.786399 0.052864 0.052864 0.052864 0.052864
240 0.068151 0.785467 0.053091 0.053091 0.053091 0.053091
241 0.068389 0.784514 0.053323 0.053323 0.053323 0.053323
242 0.068627 0.783539 0.053561 0.053561 0.053561 0.053561
243 0.068866 0.782542 0.053804 0.053804 0.053804 0.053804
244 0.069104 0.781523 0.054052 0.054052 0.054052 0.054052
245 0.069342 0.780481 0.054306 0.054306 0.054306 0.054306
246 0.069580 0.779416 0.054566 0.054566 0.054566 0.054566
247 0.069819 0.778329 0.054832 0.054832 0.054832 0.054832
248 0.070057 0.777219 0.055103 0.055103 0.055103 0.055103
249 0.070295 0.776087 0.055379 0.055379 0.055379 0.055379
250 0.070532 0.774931 0.055661 0.055661 0.055661 0.055661
251 0.070770 0.773753 0.055949 0.055949 0.055949 0.055949
252 0.071008 0.772553 0.056243 0.056243 0.056243 0.056243
253 0.071246 0.771331 0.056541 0.056541 0.056541 0.056541
254 0.071483 0.770088 0.056845 0.056845 0.056845 0.056845
255 0.071721 0.768823 0.057155 0.057155 0.057155 0.057155
256 0.071959 0.767538 0.057469 0.057469 0.057469 0.057469
257 0.072196 0.766232 0.057788 0.057788 0.057788 0.057788
258 0.072434 0.764908 0.058112 0.058112 0.058112 0.058112
259 0.072671 0.763564 0.058441 0.058441 0.058441 0.058441
260 0.072908 0.762203 0.058774 0.058774 0.058774 0.058774
261 0.073145 0.760825 0.059112 0.059112 0.059112 0.059112
262 0.073383 0.759430 0.059453 0.059453 0.059453 0.059453
263 0.073620 0.758021 0.059798 0.059798 0.059798 0.059798
264 0.073857 0.756597 0.060147 0.060147 0.060147 0.060147
