#Step_num time omega delta |10><10| |r0><r0| |d0><d0|
217 0.060714 0.808423 0.047522 0.047522 0.047522 0.047522
218 0.060958 0.807722 0.047692 0.047692 0.047692 0.047692
219 0.061202 0.807029 0.047860 0.047860 0.047860 0.047860
220 0.061446 0.806342 0.048027 0.048027 0.048027 0.048027
221 0.061690 0.805659 0.048192 0.048192 0.048192 0.048192
222 0.061933 0.804981 0.048357 0.048357 0.048357 0.048357
223 0.062177 0.804305 0.048520 0.048520 0.048520 0.048520
224 0.062421 0.803630 0.048684 0.048684 0.048684 0.048684
225 0.062664 0.802956 0.048847 0.048847 0.048847 0.048847
226 0.062908 0.802282 0.049010 0.049010 0.049010 0.049010
227 0.063151 0.801605 0.049174 0.049174 0.049174 0.049174
228 0.063395 0.800925 0.049338 0.049338 0.049338 0.049338
229 0.063638 0.800241 0.049504 0.049504 0.049504 0.049504
230 0.063882 0.799552 0.049671 0.049671 0.049671 0.049671
231 0.064125 0.798856 0.049839 0.049839 0.049839 0.049839
232 0.064369 0.798152 0.050010 0.050010 0.050010 0.050010
233 0.064612 0.797440 0.050182 0.050182 0.050182 0.050182
234 0.064855 0.796718 0.050357 0.050357 0.050357 0.050357
235 0.065098 0.795984 0.050535 0.050535 0.050535 0.050535
236 0.065341 0.795239 0.050716 0.050716 0.050716 0.050716
237 0.065585 0.794481 0.050900 0.050900 0.050900 0.050900
238 0.065828 0.793708 0.051087 0.051087 0.051087 0.051087
239 0.066071 0.792921 0.051278 0.051278 0.051278 0.051278
240 0.066314 0.792117 0.051474 0.051474 0.051474 0.051474
241 0.066557 0.791297 0.051673 0.051673 0.051673 0.051673
242 0.066800 0.790459 0.051876 0.051876 0.051876 0.051876
243 0.067043 0.789602 0.052085 0.052085 0.052085 0.052085
244 0.067286 0.788726 0.052298 0.052298 0.052298 0.052298
245 0.067528 0.787831 0.052516 0.052516 0.052516 0.052516
246 0.067771 0.786914 0.052739 0.052739 0.052739 0.052739
247 0.068014 0.785977 0.052967 0.052967 0.052967 0.052967
248 0.068257 0.785017 0.053201 0.053201 0.053201 0.053201
249 0.068499 0.784036 0.053440 0.053440 0.053440 0.053440
250 0.068742 0.783032 0.053684 0.053684 0.053684 0.053684
251 0.068985 0.782005 0.053935 0.053935 0.053935 0.053935
252 0.069227 0.780954 0.054191 0.054191 0.054191 0.054191
253 0.069470 0.779881 0.054453 0.054453 0.054453 0.054453
254 0.069712 0.778783 0.054721 0.054721 0.054721 0.054721
255 0.069954 0.777662 0.054994 0.054994 0.054994 0.054994
256 0.070197 0.776518 0.055274 0.055274 0.055274 0.055274
257 0.070439 0.775350 0.055559 0.055559 0.055559 0.055559
258 0.070682 0.774158 0.055850 0.055850 0.055850 0.055850
259 0.070924 0.772943 0.056147 0.056147 0.056147 0.056147
260 0.071166 0.771705 0.056450 0.056450 0.056450 0.056450
261 0.071408 0.770445 0.056758 0.056758 0.056758 0.056758
262 0.071650 0.769163 0.057072 0.057072 0.057072 0.057072
263 0.071892 0.767859 0.057391 0.057391 0.057391 0.057391
264 0.072135 0.766534 0.057715 0.057715 0.057715 0.057715
265 0.072377 0.765189 0.058044 0.058044 0.058044 0.058044
266 0.072619 0.763824 0.058378 0.058378 0.058378 0.058378
267 0.072860 0.762440 0.058716 0.058716 0.058716 0.058716
268 0.073102 0.761039 0.059059 0.059059 0.059059 0.059059
269 0.073344 0.759620 0.059407 0.059407 0.059407 0.059407
270 0.073586 0.758186 0.059758 0.059758 0.059758 0.059758
271 0.073828 0.756736 0.060113 0.060113 0.060113 0.060113
272 0.074069 0.755273 0.060471 0.060471 0.060471 0.060471
273 0.074311 0.753797 0.060833 0.060833 0.060833 0.060833
274 0.074553 0.752310 0.061197 0.061197 0.061197 0.061197
275 0.074794 0.750813 0.061564 0.061564 0.061564 0.061564
276 0.075036 0.749307 0.061932 0.061932 0.061932 0.061932
277 0.075277 0.747794 0.062303 0.062303 0.062303 0.062303
278 0.075519 0.746274 0.062675 0.062675 0.062675 0.062675
279 0.075760 0.744751 0.063049 0.063049 0.063049 0.063049
280 0.076002 0.743224 0.063423 0.063423 0.063423 0.063423
281 0.076243 0.741696 0.063797 0.063797 0.063797 0.063797
282 0.076484 0.740167 0.064171 0.064171 0.064171 0.064171
283 0.076726 0.738641 0.064545 0.064545 0.064545 0.064545
284 0.076967 0.737118 0.064919 0.064919 0.064919 0.064919
285 0.077208 0.735599 0.065291 0.065291 0.065291 0.065291
286 0.077449 0.734087 0.065661 0.065661 0.065661 0.065661
287 0.077690 0.732583 0.066030 0.066030 0.066030 0.066030
288 0.077931 0.731088 0.066396 0.066396 0.066396 0.066396
289 0.078172 0.729605 0.066759 0.066759 0.066759 0.066759
290 0.078413 0.728135 0.067119 0.067119 0.067119 0.067119
291 0.078654 0.726679 0.067476 0.067476 0.067476 0.067476
292 0.078895 0.725239 0.067828 0.067828 0.067828 0.067828
293 0.079136 0.723816 0.068177 0.068177 0.068177 0.068177
294 0.079377 0.722413 0.068521 0.068521 0.068521 0.068521
295 0.079617 0.721029 0.068859 0.068859 0.068859 0.068859
296 0.079858 0.719668 0.069192 0.069192 0.069192 0.069192
297 0.080099 0.718330 0.069520 0.069520 0.069520 0.069520
298 0.080339 0.717017 0.069841 0.069841 0.069841 0.069841
299 0.080580 0.715729 0.070157 0.070157 0.070157 0.070157
300 0.080820 0.714468 0.070465 0.070465 0.070465 0.070465
301 0.081061 0.713236 0.070766 0.070766 0.070766 0.070766
302 0.081301 0.712033 0.071061 0.071061 0.071061 0.071061
303 0.081542 0.710860 0.071347 0.071347 0.071347 0.071347
304 0.081782 0.709719 0.071626 0.071626 0.071626 0.071626
305 0.082022 0.708610 0.071897 0.071897 0.071897 0.071897
306 0.082263 0.707534 0.072160 0.072160 0.072160 0.072160
307 0.082503 0.706491 0.072415 0.072415 0.072415 0.072415
308 0.082743 0.705484 0.072661 0.072661 0.072661 0.072661
309 0.082983 0.704511 0.072899 0.072899 0.072899 0.072899
310 0.083223 0.703573 0.073127 0.073127 0.073127 0.073127
311 0.083463 0.702671 0.073347 0.073347 0.073347 0.073347
312 0.083703 0.701805 0.073558 0.073558 0.073558 0.073558
313 0.083943 0.700976 0.073761 0.073761 0.073761 0.073761
314 0.084183 0.700183 0.073954 0.073954 0.073954 0.073954
315 0.084423 0.699426 0.074138 0.074138 0.074138 0.074138
316 0.084663 0.698706 0.074313 0.074313 0.074313 0.074313
317 0.084903 0.698021 0.074480 0.074480 0.074480 0.074480
318 0.085142 0.697373 0.074637 0.074637 0.074637 0.074637
319 0.085382 0.696760 0.074786 0.074786 0.074786 0.074786
320 0.085622 0.696182 0.074927 0.074927 0.074927 0.074927
321 0.085861 0.695638 0.075058 0.075058 0.075058 0.075058
322 0.086101 0.695128 0.075182 0.075182 0.075182 0.075182
323 0.086340 0.694650 0.075297 0.075297 0.075297 0.075297
324 0.086580 0.694205 0.075405 0.075405 0.075405 0.075405
325 0.086819 0.693791 0.075505 0.075505 0.075505 0.075505
326 0.087058 0.693408 0.075597 0.075597 0.075597 0.075597
327 0.087298 0.693053 0.075683 0.075683 0.075683 0.075683
328 0.087537 0.692726 0.075761 0.075761 0.075761 0.075761
329 0.087776 0.692425 0.075833 0.075833 0.075833 0.075833
330 0.088015 0.692150 0.075899 0.075899 0.075899 0.075899
331 0.088255 0.691899 0.075959 0.075959 0.075959 0.075959
332 0.088494 0.691670 0.076013 0.076013 0.076013 0.076013
333 0.088733 0.691462 0.076063 0.076063 0.076063 0.076063
334 0.088972 0.691273 0.076107 0.076107 0.076107 0.076107
335 0.089211 0.691101 0.076148 0.076148 0.076148 0.076148
336 0.089450 0.690945 0.076184 0.076184 0.076184 0.076184
337 0.089688 0.690804 0.076217 0.076217 0.076217 0.076217
338 0.089927 0.690674 0.076247 0.076247 0.076247 0.076247
339 0.090166 0.690555 0.076275 0.076275 0.076275 0.076275
340 0.090405 0.690445 0.076300 0.076300 0.076300 0.076300
341 0.090643 0.690341 0.076324 0.076324 0.076324 0.076324
342 0.090882 0.690243 0.076347 0.076347 0.076347 0.076347
343 0.091121 0.690147 0.076369 0.076369 0.076369 0.076369
344 0.091359 0.690051 0.076391 0.076391 0.076391 0.076391
345 0.091598 0.689955 0.076413 0.076413 0.076413 0.076413
346 0.091836 0.689856 0.076436 0.076436 0.076436 0.076436
347 0.092074 0.689752 0.076460 0.076460 0.076460 0.076460
